filename,width,height,class,xmin,ymin,xmax,ymax
3110_jpg.rf.6f4bacb6a20f2b31deeceec29bbcd20e.jpg,640,640,Boat,355,325,387,339
3110_jpg.rf.6f4bacb6a20f2b31deeceec29bbcd20e.jpg,640,640,Person out of water,79,355,93,383
3110_jpg.rf.6f4bacb6a20f2b31deeceec29bbcd20e.jpg,640,640,Person out of water,362,312,376,340
3110_jpg.rf.6f4bacb6a20f2b31deeceec29bbcd20e.jpg,640,640,Person out of water,406,424,420,451
3110_jpg.rf.6f4bacb6a20f2b31deeceec29bbcd20e.jpg,640,640,Boat,71,368,100,387
3110_jpg.rf.6f4bacb6a20f2b31deeceec29bbcd20e.jpg,640,640,Boat,393,434,439,455
130589_jpg.rf.70e72c7738abfedb7cda49876f850c8a.jpg,640,640,Person in water,7,202,127,273
3863_jpg.rf.6f573c214a2afda197268096587427c3.jpg,640,640,Person in water,230,252,421,603
4303_jpg.rf.718298ccf022269dd0bde8cfa6e70888.jpg,640,640,Person in water,217,403,283,605
4303_jpg.rf.718298ccf022269dd0bde8cfa6e70888.jpg,640,640,Boat,80,82,155,143
130268_jpg.rf.716163520ced530217c3b1a6d0b2daec.jpg,640,640,Person in water,318,376,395,489
130274_jpg.rf.71c15aecfd2b54120b21b034b864485f.jpg,640,640,Person in water,339,388,495,520
11808_jpg.rf.71f78116813fee493f988d8f2ae8cf3d.jpg,640,640,Person in water,286,359,400,498
11808_jpg.rf.71f78116813fee493f988d8f2ae8cf3d.jpg,640,640,Person in water,403,362,483,498
11808_jpg.rf.71f78116813fee493f988d8f2ae8cf3d.jpg,640,640,Person in water,326,33,479,193
4078_jpg.rf.72572c96398ef43eb623a2b7704d2478.jpg,640,640,Person in water,356,36,607,564
4403_jpg.rf.7214fba8399a26eff14852b7c0675a8b.jpg,640,640,Boat,243,179,289,279
3878_jpg.rf.72b2ef42cddb1658870b89f6a1110371.jpg,640,640,Person in water,286,110,372,395
drowning1_mp4-37_jpg.rf.702ef067a03219480da32be86f283015.jpg,640,640,Person in water,254,352,418,515
drowning1_mp4-37_jpg.rf.702ef067a03219480da32be86f283015.jpg,640,640,Person drowning,427,339,639,565
drowning1_mp4-37_jpg.rf.702ef067a03219480da32be86f283015.jpg,640,640,Person in water,189,448,278,639
3869_jpg.rf.6fc09fb9365a2aaac0d0052b0391802e.jpg,640,640,Person in water,252,78,397,604
drowning1_mp4-34_jpg.rf.6f3034cce4f614cd32e8b0568b380dab.jpg,640,640,Person drowning,426,357,639,595
drowning1_mp4-34_jpg.rf.6f3034cce4f614cd32e8b0568b380dab.jpg,640,640,Person in water,133,404,279,639
drowning1_mp4-34_jpg.rf.6f3034cce4f614cd32e8b0568b380dab.jpg,640,640,Person in water,526,0,639,126
130437_jpg.rf.6fbb8230ada9cb4f68081dcc280d999d.jpg,640,640,Person in water,483,225,520,250
130437_jpg.rf.6fbb8230ada9cb4f68081dcc280d999d.jpg,640,640,Person in water,337,143,374,166
130437_jpg.rf.6fbb8230ada9cb4f68081dcc280d999d.jpg,640,640,Person in water,292,164,330,187
130437_jpg.rf.6fbb8230ada9cb4f68081dcc280d999d.jpg,640,640,Person in water,372,189,411,212
130437_jpg.rf.6fbb8230ada9cb4f68081dcc280d999d.jpg,640,640,Person in water,532,303,576,326
130437_jpg.rf.6fbb8230ada9cb4f68081dcc280d999d.jpg,640,640,Person in water,362,213,401,236
130437_jpg.rf.6fbb8230ada9cb4f68081dcc280d999d.jpg,640,640,Person in water,126,275,154,312
130437_jpg.rf.6fbb8230ada9cb4f68081dcc280d999d.jpg,640,640,Person in water,313,281,372,304
130437_jpg.rf.6fbb8230ada9cb4f68081dcc280d999d.jpg,640,640,Person in water,554,345,601,373
130437_jpg.rf.6fbb8230ada9cb4f68081dcc280d999d.jpg,640,640,Person in water,409,331,475,360
130437_jpg.rf.6fbb8230ada9cb4f68081dcc280d999d.jpg,640,640,Person in water,67,386,102,422
130437_jpg.rf.6fbb8230ada9cb4f68081dcc280d999d.jpg,640,640,Person in water,79,450,118,498
130437_jpg.rf.6fbb8230ada9cb4f68081dcc280d999d.jpg,640,640,Person in water,579,454,638,498
130437_jpg.rf.6fbb8230ada9cb4f68081dcc280d999d.jpg,640,640,Person in water,319,444,383,478
130437_jpg.rf.6fbb8230ada9cb4f68081dcc280d999d.jpg,640,640,Person in water,415,138,454,161
130437_jpg.rf.6fbb8230ada9cb4f68081dcc280d999d.jpg,640,640,Person in water,446,192,485,216
10003_jpg.rf.73edd9878b58d112b51d6b1693a80918.jpg,640,640,Person in water,481,46,635,225
3932_jpg.rf.708084764827b9bddd430f645fb9f4af.jpg,640,640,Person in water,349,238,440,476
3449_jpg.rf.72d049242e4872cf7d060646dac101c6.jpg,640,640,Boat,445,520,473,552
3449_jpg.rf.72d049242e4872cf7d060646dac101c6.jpg,640,640,Boat,358,435,376,480
3449_jpg.rf.72d049242e4872cf7d060646dac101c6.jpg,640,640,Person in water,435,447,468,510
3621_jpg.rf.70e98d82e1cd8b754c974b8fd32cd827.jpg,640,640,Person in water,335,460,387,545
3621_jpg.rf.70e98d82e1cd8b754c974b8fd32cd827.jpg,640,640,Person in water,147,297,199,381
3126_jpg.rf.72c03fd67c0526a6c2b9c6e57c1c8fab.jpg,640,640,Person in water,370,505,402,631
